City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Leh,IN,34.1667,77.5833,51.69,43,9,5.91,clear sky
315,Aklavik,CA,68.2191,-135.0107,57.2,58,75,9.22,broken clouds
316,Mirabad,AF,30.4362,61.8383,78.82,25,0,18.99,clear sky
317,Sungaipenuh,ID,-2.0833,101.3833,63.21,97,97,0.78,overcast clouds
318,Masty,BY,53.4122,24.5387,46.98,85,100,6.08,overcast clouds
319,Turinsk,RU,58.0458,63.696,57.88,69,100,11.9,overcast clouds
320,Fredericton,CA,45.9454,-66.6656,59.85,56,0,4.61,clear sky
321,Narathiwat,TH,6.3333,101.75,76.86,91,100,5.23,light rain
322,Oistins,BB,13.0667,-59.5333,82.49,83,40,8.05,scattered clouds
323,Encruzilhada,BR,-15.5314,-40.9094,64.72,87,80,11.23,broken clouds
324,Padang,ID,-0.9492,100.3543,74.86,95,100,2.19,overcast clouds
325,Mollendo,PE,-17.0231,-72.0147,61.57,82,70,8.59,broken clouds
326,Jalu,LY,29.0331,21.5482,79.92,24,0,5.77,clear sky
327,Samur,RU,41.8253,48.486,71.46,55,6,4.07,clear sky
328,Inhambane,MZ,-23.865,35.3833,70.86,90,2,12.66,clear sky
329,Songjianghe,CN,42.1859,127.479,60.91,95,36,3.44,scattered clouds
330,Puerto Escondido,MX,15.85,-97.0667,74.23,60,100,2.3,overcast clouds
331,Amahai,ID,-3.3333,128.9167,77.31,83,100,3.22,overcast clouds
332,Armacao De Pera,PT,37.1026,-8.357,74.08,70,45,3.06,scattered clouds
333,Parabel,RU,58.6978,81.4825,45.97,78,99,5.77,overcast clouds
334,Pasuruan,ID,-7.6453,112.9075,75.09,74,61,3.74,broken clouds
335,Nevers,FR,46.9167,3.3333,44.02,66,14,3.78,few clouds
336,Wanlaweyn,SO,2.6185,44.8938,74.35,81,28,11.68,scattered clouds
337,Forrest City,US,35.0081,-90.7898,89.38,31,0,4.03,clear sky
