City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Constantine,DZ,2022-09-17 01:17:39,36.365,6.6147,67.41,94,40,2.3
175,Tucurui,BR,2022-09-17 01:17:39,-3.7661,-49.6725,75.97,82,47,4.23
176,Gualeguay,AR,2022-09-17 01:13:09,-33.1416,-59.3097,60.44,81,100,9.71
177,Douglas,US,2022-09-17 01:17:40,41.3,-96.167,77.59,69,0,10.36
178,Ancud,CL,2022-09-17 01:17:40,-41.8697,-73.8203,39.22,73,87,5.46
179,Provideniya,RU,2022-09-17 01:17:41,64.3833,-173.3,44.6,95,100,31.23
180,Santo Antonio Do Sudoeste,BR,2022-09-17 01:17:41,-26.0736,-53.7253,58.68,70,53,6.2
181,Padang,ID,2022-09-17 01:17:41,-0.9492,100.3543,80.65,83,70,3.44
182,Pecos,US,2022-09-17 01:17:42,31.4229,-103.4932,90.3,35,0,13.8
183,Inhambane,MZ,2022-09-17 01:17:42,-23.865,35.3833,67.23,85,0,8.21
184,Miguel Alves,BR,2022-09-17 01:17:42,-4.1656,-42.8953,77.31,77,24,5.91
185,Kosh-Agach,RU,2022-09-17 01:17:43,50.0,88.6667,32.04,74,80,1.66
186,Mackay,AU,2022-09-17 01:17:43,-21.15,149.2,90.68,73,8,11.32
187,Kardla,EE,2022-09-17 01:17:43,58.9978,22.7492,49.82,90,64,6.93
188,Korla,CN,2022-09-17 01:17:44,41.7597,86.1469,67.3,25,0,5.91
189,Pudozh,RU,2022-09-17 01:17:44,61.8099,36.5345,47.95,99,100,2.55
190,Namibe,AO,2022-09-17 01:17:44,-15.1961,12.1522,68.13,81,96,7.87
191,Kondinskoye,RU,2022-09-17 01:17:45,59.6481,67.41,49.12,67,100,9.62
192,General Roca,AR,2022-09-17 01:17:45,-39.0333,-67.5833,54.63,33,92,15.9
193,Vila Velha,BR,2022-09-17 01:17:45,-20.3297,-40.2925,66.15,97,100,16.11
194,Aklavik,CA,2022-09-17 01:17:46,68.2191,-135.0107,38.37,96,100,5.17
195,Iquitos,PE,2022-09-17 01:17:46,-3.7481,-73.2472,71.64,88,40,2.3
196,Manzil Salim,TN,2022-09-17 01:17:46,35.8567,8.4765,73.11,74,28,6.29
197,Filingue,NE,2022-09-17 01:17:47,14.3521,3.3168,83.71,65,100,14.63
198,Matamoros,MX,2022-09-17 01:17:47,25.5333,-103.25,87.91,41,40,6.91
199,Ekibastuz,KZ,2022-09-17 01:17:47,51.6667,75.3667,43.93,54,0,6.96
200,Tuy Hoa,VN,2022-09-17 01:17:48,13.0833,109.3,83.28,70,86,11.61
201,Badou,TG,2022-09-17 01:17:48,7.5833,0.6,69.96,98,95,3.42
202,Saint-Pierre,RE,2022-09-17 01:17:48,-21.3393,55.4781,65.88,77,0,5.75
203,Souillac,MU,2022-09-17 01:17:49,-20.5167,57.5167,70.18,78,40,12.66
204,High Level,CA,2022-09-17 01:15:41,58.5169,-117.136,66.31,48,75,3.44
205,De Land,US,2022-09-17 01:17:49,29.0283,-81.3031,78.89,93,0,0.0
206,Airai,TL,2022-09-17 01:17:49,-8.9266,125.4092,76.51,29,68,2.77
207,Qaanaaq,GL,2022-09-17 01:17:50,77.484,-69.3632,26.44,83,47,7.14
208,Chato,TZ,2022-09-17 01:17:50,-2.6378,31.7669,70.93,67,92,2.3
209,Asau,RO,2022-09-17 01:17:50,46.4333,26.4,60.28,92,52,2.28
210,Zheleznodorozhnyy,RU,2022-09-17 01:17:51,55.7503,38.0042,49.55,90,0,6.29
211,Tasiilaq,GL,2022-09-17 01:17:51,65.6145,-37.6368,39.36,96,100,13.33
212,Utraula,IN,2022-09-17 01:17:51,27.3167,82.4167,73.63,96,100,9.01
213,Cuiluan,CN,2022-09-17 01:17:52,47.72,128.648,54.05,96,100,6.04
214,Esperance,AU,2022-09-17 01:17:52,-33.8667,121.9,57.36,73,32,13.35
215,Tatarsk,RU,2022-09-17 01:17:52,55.219,75.9828,49.96,51,100,3.2
216,Mponela,MW,2022-09-17 01:17:53,-13.5319,33.7401,60.94,63,6,4.56
217,Whitehorse,CA,2022-09-17 01:16:10,60.7161,-135.0538,56.17,39,20,8.99
218,Saint-Augustin,CA,2022-09-17 01:16:13,51.226,-58.6502,48.09,70,100,23.47
219,Khandyga,RU,2022-09-17 01:17:53,62.6667,135.6,42.06,60,100,7.87
220,Santa Fe,AR,2022-09-17 01:16:30,-31.6333,-60.7,68.0,60,100,5.99
221,Sao Filipe,CV,2022-09-17 01:17:54,14.8961,-24.4956,78.13,82,21,9.51
222,Porto Seguro,BR,2022-09-17 01:17:54,-16.4497,-39.0647,73.92,88,0,5.75
223,Bac Lieu,VN,2022-09-17 01:17:54,9.285,105.7244,82.53,79,20,9.48
224,Coahuayana,MX,2022-09-17 01:17:55,18.7333,-103.6833,78.37,92,100,2.13
225,Daru,PG,2022-09-17 01:17:55,-9.0763,143.2092,79.68,85,100,6.67
226,Surt,LY,2022-09-17 01:17:55,31.2089,16.5887,76.06,67,0,9.73
227,Pangnirtung,CA,2022-09-17 01:17:56,66.1451,-65.7125,41.05,74,100,5.59
228,Fort Wellington,GY,2022-09-17 01:17:56,6.4,-57.6,79.59,85,100,8.12
229,Foso,GH,2022-09-17 01:17:56,5.7012,-1.2866,69.87,98,94,2.44
230,Altamira,BR,2022-09-17 01:17:57,-3.2033,-52.2064,75.72,79,53,4.56
231,Baruun-Urt,MN,2022-09-17 01:17:57,46.6806,113.2792,47.03,53,7,20.6
232,Svetlyy,RU,2022-09-17 01:17:57,54.675,20.1347,53.65,85,100,20.76
233,Almeria,ES,2022-09-17 01:17:58,37.1667,-2.3333,63.77,58,0,1.16
234,Meulaboh,ID,2022-09-17 01:17:58,4.1363,96.1285,76.6,87,99,3.18
235,Miass,RU,2022-09-17 01:17:58,55.045,60.1083,44.58,85,100,3.6
236,Severo-Kurilsk,RU,2022-09-17 01:17:59,50.6789,156.125,52.72,74,15,15.61
